#category,result,item1,item2,item3,item4,item5,item6
武,木の棒,廃木材,黒曜石のかけら,,,,
武,木の棒,竹の棒,変性液,,,,
武,竹の棒,カラフルキノコ,あれ,変性液,,,
武,竹の棒,木の棒,変性液,,,,
武,なにかの骨,獣の毛,火薬,,,,
武,なにかの骨,頭蓋骨,濃縮液,,,,
武,鉄の棒,溶けた金属,火薬,,,,
武,鉄の棒,溶けた金属,溶けた金属,溶けた金属,,,
武,ナイフ,黒曜石のかけら,強力液,濃縮液,,,
武,ナイフ,黒曜石のかけら,黒曜石のかけら,濃縮液,,,
武,うちわ,ふしぎな紙切れ,墨汁,,,,
武,うちわ,コンパクトディスク,絵の具,,,,
武,うさぎのしっぽ,獣の毛,動物の皮,,,,
武,うさぎのしっぽ,毛糸,わら,濃縮液,,,
武,メリケンサック,溶けた金属,石ころ,黒曜石のかけら,,,
武,メリケンサック,動物の皮,わら,ぞうきん,,,
武,肉球手袋,ヒマンテス Lv25<br>(メリケンサックrank2),どっさりマタタビ,,,,
武,肉球手袋,ヒマンテス Lv25,橙のしっぽ,,,,
武,ジャマダハル,ヒマンテス Lv25,一角獣の角,溶けた金属,,,
武,ジャマダハル,ヒマンテス Lv25,石槍,溶けた金属,,,
武,DX最強変形手刀,フェニックスブロー<br>(メリケンサックrank3),式神「橙」<br>(肉球手袋rank2),パタ<br>(ジャマダハルrank2),,,
武,おみやげ用の木刀,木の棒 Lv8,値札,,,,
武,哨戒天狗の刀,ナイフ Lv8,白狼天狗の毛,,,,
武,哨戒天狗の刀,木の棒 Lv8,犬の毛,犬の毛,犬の毛,,
武,白狼天牙「椛」,千里眼の大太刀 Lv43<br>(哨戒天狗の刀rank3),狗賓餅,,,,
武,白狼天牙「鴉」,千里眼の大太刀 Lv50,猿田彦味酒「幻想風靡」,,,,
武,白狼天牙「天」,白狼天牙「椛」,白狼天牙「鴉」,緋々色金,,,
武,妖刀「犬走」,千里眼の大太刀(条件付)<br>(哨戒天狗の刀rank3)<br>・撃破数が3000以上,妖剣シルバーブレード,狗賓餅,グネグネした棒,ゆゆ様うちわ,金属バット
武,忘れ傘（棒）,鉄の棒 Lv8,透明ビニール,,,,
武,融合の足,鉄の棒 Lv10,爆薬,,,,
武,融合の足,鉄の棒 Lv10,超爆発のスキマ,,,,
武,青竹,竹の棒 Lv8,強力液,,,,
武,無線機,壊れたソナー,溶けた金属,NTRリバース,,,
武,ウエハースブレイド,木の棒 Lv8,ワッフルモドキ,,,,
武,チョコエッジ,木の棒 Lv10,カカオの種,,,,
武,スイカソード,ひょうたん Lv25<br>(ウリ科の植物rank2),木の棒,,,,
武,あたり剣,スイカソード Lv28(条件付)<br>・必中印が入っている,額烏帽子,DC,,,
武,あたり剣,にとりん棒 (条件付)<br>(フランクフルトrank3)<br>・必中印が入っている,博打「エスポワール」,,,,
武,バスタードチルノソード,ウエハースブレイド,ウエハースブレイド,チョコエッジ,チョコエッジ,スイカソード,あたり剣
武,赤い羽根,なにかの骨 Lv8,蝙蝠の羽,虫の死骸,,,
武,氷精の羽,ミスティアの羽 Lv17<br>(赤い羽根rank2),極大氷塊,緑茶オン・ザ・ロック,,,
武,小悪魔の羽,蝙蝠の羽,紅魔茶「スカーレットデビル」,,,,
武,レミリアの羽,レミィ人形 <br>(紅いリボンrank4),大悪魔の羽<br>(小悪魔の羽rank3),紅魔茶「スカーレットデビル」,,,
武,ヌメッとしたもの,なにかの骨 Lv8,人魚のうろこ,,,,
武,センジュナマコたん,海鼠腸,ヌメっとしたもの,元気のもと,,,
武,マナマコたん,海鼠腸,ヌメっとしたもの,薄い本,,,
武,アルビノたん,海鼠腸,ヌメっとしたもの,銀竜草の花,,,
武,ユメナマコたん,海鼠腸,ヌメっとしたもの,ナマコワイン（赤）,,,
武,クレナイオオイカリナマコたん,海鼠腸,ヌメっとしたもの,弩級薬「超マッシュルーム」,赤いイカリ,,
武,ペニアゴネ・プルプレア,海鼠腸,ヌメっとしたもの,ナマコのお菓子,,,
武,エボシナマコたん,海鼠腸,ヌメっとしたもの,額烏帽子,,,
武,キャラウシナマコたん,海鼠腸,ヌメっとしたもの,謹製・みがわり人形,,,
武,エクレアナマコたん,海鼠腸,ヌメっとしたもの,エクレア,正体不明の種,,
武,たぬきのしっぽ,うさぎのしっぽ Lv8,たぬきの葉っぱ,,,,
武,きつねのしっぽ,うさぎのしっぽ Lv8,油揚げ,,,,
武,殺生石,禍怨珠,白狐の九尾''限定'' (条件付)<br>(きつねのしっぽrank3)<br>・呪われている<br>・強化値が-50以下<br>・撃破数が300以上,,,,
武,本榊,木の棒 Lv17,神気玉,煌々液,,,
武,おはらい棒99,ゴールデンリーフスイーツ,木の棒 Lv99,,,,
武,陰陽ボール,神気玉,神霊「夢想封印」,神技「八方龍殺陣」,煌々液,,
武,陰陽ボール,最も凶悪なびっくり巫女玉,濃縮液,,,,
武,陰陽ボール,神気玉,飛翔薬「博麗ロケット」,びっくり巫女玉,,,
武,陰陽ボール,本榊,変性液,,,,
武,卒塔婆,木の棒 Lv10,墨汁,神気玉,,,
武,卒塔婆,木の棒 Lv10,閻魔様の審判帳,強力液,,,
武,銀のナイフ,ナイフ Lv8,香草,ぞうきん,,,
武,銀のナイフ,ナイフ Lv8,茶葉,蝙蝠の羽,,,
武,マジックスターランス,マジックスターソード Lv40<br>(銀のナイフrank3),たけのこ,たけのこ,たけのこ,たけのこ,たけのこ
武,マジックスターランス,マジックスターソード Lv40,一角獣の角,,,,
武,マジックスターランス,マジックスターソード Lv40,石槍,,,,
武,妖剣シルバーブレード,マジックスターソード Lv60<br>(銀のナイフrank3),厄をためこんだお守り Lv30,黒怨石,桎梏の楔 Lv12,,
武,妖剣「輝針剣」,妖剣シルバーブレード,角鬼槍レイジングテンペスト<br>(一角獣の角rank3),酒呑童子SUIKA<br>(ウリ科の植物rank4),茨木の百薬枡,禍怨珠,
武,白楼剣,ナイフ Lv10,魂魄,,,,
武,楼観剣,ナイフ Lv10,桜の花びら,,,,
武,楼観剣,ナイフ Lv10,西行妖の枝,,,,
武,桜花「黒楼剣」,O.S.白楼(白楼剣rank3),斬魂刀(楼観剣rank3),憑依合体・半霊 in 屠自古<br>(半霊rank3),西行妖の枝 Lv20,,
武,チルノ人形,てゐ人形,うさぎのしっぽ,氷塊,,,
武,うどんげの耳,うさぎのしっぽ Lv10,動物の皮,獣の毛,,,
武,うどんげの耳,うさぎのしっぽ,八意湿布,,,,
武,てゐの耳,うさぎのしっぽ Lv10,四葉のクローバー,,,,
武,ギロチンラビット,ファンシーラビット Lv60 <br>(てゐの耳rank2),ウドンゲスラッシャー Lv60 <br>(うどんげの耳rank2),ツイン死神と鎌 <br>(草刈り鎌rank4),,,
武,文ちゃんうちわ,うちわ Lv10,鴉天狗の卵,,,,
武,グネグネした棒,鉄の棒 Lv10,禁忌薬「フランドール」,,,,
武,六文銭,なにかの骨 Lv8,古銭,,,,
武,六文銭,なにかの骨 Lv8,博麗神社の賽銭箱,,,,
武,1万マウス,六文銭 Lv12,墨汁,ふしぎな紙切れ,,,
武,1万マウス,旧一万円札(10),漂白剤,墨汁,古銭,,
武,色づいた葉っぱ,たぬきの葉っぱ,変性液,,,,
武,焼き妹,焼きいも Lv43<br>(色づいた葉っぱrank3),穣子の帽子<br>(ぶどうrank2),,,,
武,緑のバナナ,竹の棒 Lv10,バナナの種,,,,
武,どろり濃厚バナナ,シュガースポットバナナ Lv40<br>(緑のバナナrank3),過去を刻む時計,,,,
武,神子のしゃく,旧一万円札(10),木の棒 Lv10,神気玉,,,
武,素環頭大刀,神子のしゃく''限定'',白狼刀 Lv25<br>(哨戒天狗の刀rank2),溶けた金属,,,
武,勇気凛々の剣,鉄の棒 Lv30,仙果,激震薬「先憂後楽」,,,
武,赤いマフラー,なにかの骨 Lv10,赤い繊維,,,,
武,門前少女のほうき,竹の棒 Lv8,ぞうきん,,,,
武,妖精メイドの掃除道具,魔法少女のほうき Lv30<br>(門前少女のほうきrank2),蓬莱の玉の枝,メイド長の懐中時計,,,
武,はたきのようなもの,ミラクルフルーツ,門前少女のほうき Lv20,みらくる★ワッフルDX,,,
武,はたきのようなもの,果実酒「みらくる★もーぜ」,門前少女のほうき Lv20,,,,
武,裏妖奇「風屠」,粛清の証,禍怨珠,はたきのようなもの(条件付)<br>・撃破数が1000以上,超東風谷ブレード<br>(さらさらヘアーrank3),,
武,ゆゆ様うちわ,うちわ Lv10,桜の花びら,,,,
武,ゆゆ様うちわ,うちわ Lv10,西行妖の枝,,,,
武,木の杭,木の棒 Lv10,紅茶,蝙蝠の羽,,,
武,ウリ科の植物,竹の棒 Lv10,酒虫,遠離の札,,,
武,ビール瓶,キンキンに冷えたビール,伊吹瓢<br>(ウリ科の植物rank3),瓶コーラ,,,
武,フラフープ,フラッシュソード''限定'' Lv20<br>(おみやげ用の木刀rank2),鉄の棒 Lv10,,,,
武,火縄銃,木の棒,竹の棒,なにかの骨,火薬,,
武,火縄銃,鉄の棒,ナイフ,うちわ,火薬,,
武,玉兎式騎兵銃,火縄銃 Lv30,草刈り鎌,木の杭,石槍,NTR調整薬,
武,シュペーア・カノーネ,火縄銃 Lv50,文ちゃんうちわ,ビール瓶,フラフープ,NTR因子No.44,
武,アトミックバズーカ,火縄銃 Lv76,一角獣の角,丸太,緋の衣,NTRリバース,
武,ルナライトキャノン,最新鋭の素材,シュペーア・カノーネ,玉兎式騎兵銃,アトミックバズーカ,NTR燃料,
武,草刈り鎌,ナイフ Lv12,雑草,薬草,毒草,茶葉,香草
武,ぬえのフォーク,鉄の棒 Lv12,正体不明の種,,,,
武,一角獣の角,なにかの骨 Lv12,鬼の杯,,,,
武,万能のみ,鉄の棒 Lv12,トンネルのスキマ,,,,
武,手押し車,鉄の棒Lv12,どっさりマタタビ,,,,
