#category,result,item1,item2,item3,item4,item5,item6
お札,加速の札(3),加速薬,ふしぎな紙切れ,,,,
お札,加速の札(2),敵速「メイド・イン・ヘブン」,ふしぎな紙切れ,墨汁,,,
お札,低速の札(3),鈍重薬,ふしぎな紙切れ,,,,
お札,低速の札(3),鈍速薬,ふしぎな紙切れ,墨汁,,,
お札,金縛りの札(3),筋弛緩剤,ふしぎな紙切れ,,,,
お札,幸福の札(2),四葉のクローバー,ふしぎな紙切れ,墨汁,,,
お札,幸福の札(3),しあわせになれるくすり,ふしぎな紙切れ,,,,
お札,不幸の札(2),逆行薬,ふしぎな紙切れ,墨汁,,,
お札,不幸の札(3),退行薬,ふしぎな紙切れ,墨汁,,,
お札,場所がえの札(3),帰還「リターンオブハクレイ」,ふしぎな紙切れ,,,,
お札,場所がえの札(3),微翔薬,遠離の札,転換液,,,
お札,無能の札(3),衰耗液,ふしぎな紙切れ,墨汁,,,
お札,遠離の札(3),蝙蝠の羽,ふしぎな紙切れ,墨汁,,,
お札,遠離の札(3),メントゥス,ふしぎな紙切れ,,,,
お札,囮の札(3),混乱薬,ふしぎな紙切れ,墨汁,,,
お札,招雷の札(3),神技「八方龍殺陣」,ふしぎな紙切れ,,,,
お札,招雷の札(3),照符「ルーム・オブ・ライト」,ふしぎな紙切れ,壊れたソナー,,,
お札,変異の札(3),変性液,ふしぎな紙切れ,墨汁,,,
お札,怨返しの札(3),厄をため込んだお守り,ふしぎな紙切れ,墨汁,,,
お札,怨返しの札(3),呪詛返しの札,濃縮液,転換液,,,
お札,呪詛返しの札(3),あぶない薬,ふしぎな紙切れ,墨汁,,,
お札,八意湿布(2),玉露,ふしぎな紙切れ,墨汁,茶葉,,
お札,八意湿布(2),解毒薬,ふしぎな紙切れ,墨汁,,,
お札,火水木金土日月の札(3),博打「エスポワール」,墨汁,,,,
お札,火水木金土日月の札(3),あぶない薬,ふしぎな紙切れ,,,,
お札,炎上の札(1),火薬,ふしぎな紙切れ,墨汁,,,
お札,炎上の札(2),爆薬,ふしぎな紙切れ,墨汁,,,
お札,旧一万円札(4),ふしぎな紙切れ,墨汁,しあわせになれるくすり,,,
お札,霧散霧消の札(4),雲の切れ端,ふしぎな紙切れ,墨汁,,,
